name,title,medium,year,size,sale,sold,estimate
Arnaldo Roche Rabell,La bienvenida,oil on canvas,1989,Height 77.5 in.; Width 78 in. / Height 196.9 cm.; Width 198.1 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00095]
Latin American Art","35,000 USD Premium","30,000 - 40,000 USD ?"
Mercedes Pardo,Untitled,acrylic on canvas,1980,Height 32.2 in.; Width 32.2 in. / Height 81.9 cm.; Width 81.9 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00105]
Latin American Art","43,750 USD Premium","30,000 - 40,000 USD ?"
Sebastian Salcedo,Mater Dolorosa,oil on copper,Height 25.1 in.; Width 19.1 in. / Height 63.8 cm.; Width 48.6 cm.,"Signed, Inscribed","6,000 - 8,000 USD ?",,"6,250 USD Premium ?"
Mexican School (18),Virgin of the Apocalypse,oil on copper,Height 17.8 in.; Width 13 in. / Height 45.2 cm.; Width 33 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00123]
Latin American Art","62,500 USD Premium ?",,
Peruvian School-Cuzco (18),Adoration of the Shepherds,oil on canvas,Height 41.5 in.; Width 50.5 in. / Height 105.4 cm.; Width 128.3 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00125]
Latin American Art","137,500 USD Premium ?",,
Anonymous-Peruvian(18),Saint Apollonia,oil on canvas,Height 62 in.; Width 43 in. / Height 157.5 cm.; Width 109.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00129]
Latin American Art","300,000 USD Premium ?",,
Mexican School (18),Nuestra Señora de Guadalupe,oil on canvas,Height 66 in.; Width 43 in. / Height 167.6 cm.; Width 109.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00131]
Latin American Art","30,000 USD Premium ?",,
José Gurvich,Untitled,oil on paper laid down on panel,1952,Height 20.2 in.; Width 15.5 in. / Height 51.4 cm.; Width 39.4 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00063]
Latin American Art","6,250 USD Premium","20,000 - 25,000 USD ?"
Roberto Matta,Presence d'espait,oil on linen,1978,Height 35.5 in.; Width 40.2 in. / Height 90.2 cm.; Width 102.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00081]
Latin American Art","47,500 USD Premium","35,000 - 45,000 USD ?"
Sarah Grilo,Gris arriba,"oil, ink and graphite on canvas",1969,Height 51.3 in.; Width 44.9 in. / Height 130.2 cm.; Width 114 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00087]
Latin American Art","43,750 USD Premium","40,000 - 60,000 USD ?"
Jorge Eielson,Quipus 79b,painted canvas over wood,1978,Height 35.4 in.; Width 48.4 in.; Depth 6 in. / Height 89.9 cm.; Width 122.9 cm.; Depth 15.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00093]
Latin American Art",Bought In,"50,000 - 70,000 USD ?"
Olga Albizu,Untitled,oil on canvas,1963,Height 46 in.; Width 50 in. / Height 116.8 cm.; Width 127 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00100]
Latin American Art","52,500 USD Premium","35,000 - 45,000 USD ?"
Omar Rayo,Chami,acrylic on canvas,1970-1974,Height 56.3 in.; Width 56.3 in. / Height 142.9 cm.; Width 142.9 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00103]
Latin American Art",Bought In,"30,000 - 40,000 USD ?"
Arcangelo Ianelli,Untitled,oil on canvas,1976,Height 71 in.; Width 51 in. / Height 180.3 cm.; Width 129.5 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00106]
Latin American Art",Bought In,"40,000 - 60,000 USD ?"
Luis de Riaño,Saint Michael Archangel,oil on canvas,1640,Height 81 in.; Width 56 in. / Height 205.7 cm.; Width 142.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00119]
Latin American Art","495,000 USD Premium","40,000 - 60,000 USD ?"
Anonymous-Peruvian(18),Virgen de la Merced,oil on canvas,Height 61 in.; Width 47.5 in. / Height 154.9 cm.; Width 120.7 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00127]
Latin American Art","100,000 USD Premium ?",,
Rashid Johnson,Color Men,"spray enamel, black soap and wax on ceramic tiles mounted on panel",2015,Height 72 in.; Width 49.5 in.; Depth 2.5 in. / Height 182.9 cm.; Width 125.7 cm.; Depth 6.4 cm.,"200,000 - 300,000 USD ?",,"447,000 USD Premium ?"
Helen Frankenthaler,Horoscope (for K.B.),acrylic on canvas,1968,Height 91 in.; Width 77.2 in. / Height 231.1 cm.; Width 196.2 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00115]
Post-War & Contemporary Art Day Sale","735,000 USD Premium","600,000 - 800,000 USD ?"
Wayne Thiebaud,Three Cones,oil on board mounted on panel,1964,Height 13 in.; Width 14.8 in. / Height 33 cm.; Width 37.5 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00117]
Post-War & Contemporary Art Day Sale","3,735,000 USD Premium","1,800,000 - 2,500,000 USD ?"
Cecily Brown,The Wanton Boy,oil on canvas,2020,Height 17 in.; Width 13 in. / Height 43.2 cm.; Width 33 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00124]
Post-War & Contemporary Art Day Sale","312,500 USD Premium","120,000 - 180,000 USD ?"
Andy Warhol,Ladies and Gentlemen (Wilhelmina Ross),acrylic and silkscreen ink on canvas,1975,Height 50 in.; Width 40 in. / Height 127 cm.; Width 101.6 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00149]
Post-War & Contemporary Art Day Sale",Bought In,"1,400,000 - 1,800,000 USD ?"
Richard Prince,Untitled (Cowboy),inkjet and acrylic on canvas,2012,Height 30.1 in.; Width 20 in. / Height 76.5 cm.; Width 50.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00156]
Post-War & Contemporary Art Day Sale",Bought In,"400,000 - 600,000 USD ?"
Richard Prince,American Dream,acrylic and Bondo on fiberglass and wood,2007-2008,Height 67 in.; Width 50.5 in.; Depth 16 in. / Height 170.2 cm.; Width 128.3 cm.; Depth 40.6 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00160]
Post-War & Contemporary Art Day Sale","1,215,000 USD Premium","1,200,000 - 1,800,000 USD ?"
Jack Whitten,Site VIII,"string, acrylic and screws on board mounted on canvas",1987,Height 12.2 in.; Width 12.4 in. / Height 31 cm.; Width 31.5 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00163]
Post-War & Contemporary Art Day Sale",Bought In,"80,000 - 120,000 USD ?"
Stanley Whitney,Untitled,oil on canvas,2006,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00168]
Post-War & Contemporary Art Day Sale","37,500 USD Premium","25,000 - 35,000 USD ?"
Kenneth Noland,Sails Pride,acrylic on shaped canvas,1977,Height 91 in.; Width 60.2 in. / Height 231.1 cm.; Width 153 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00170]
Post-War & Contemporary Art Day Sale","250,000 USD Premium","200,000 - 300,000 USD ?"
Chuck Close,Leslie,oil on linen,2007,Height 72 in.; Width 60 in. / Height 182.9 cm.; Width 152.4 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00174]
Post-War & Contemporary Art Day Sale","615,000 USD Premium","600,000 - 800,000 USD ?"
Carrie Mae Weems,Mourning from Constructing History,archival pigment print,2008,Height 14.5 in.; Width 14.5 in. / Height 36.8 cm.; Width 36.8 cm.,Signed,"12,000 - 18,000 USD",
David Hockney,Isolde and Brangane,acrylic on canvas,1987,Height 48.2 in.; Width 36.2 in. / Height 122.5 cm.; Width 92 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00190]
Post-War & Contemporary Art Day Sale","300,000 USD Premium","300,000 - 500,000 USD ?"
Per Kirkeby,Untitled,oil on canvas,1981,Height 51.4 in.; Width 78.7 in. / Height 130.5 cm.; Width 200 cm.,"100,000 - 150,000 USD ?",,"162,500 USD Premium ?"
Damien Hirst,Caprica 6,"butterflies and household gloss on canvas, in six parts",2008,Height 24 in.; Width 18 in. / Height 61 cm.; Width 45.7 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00216]
Post-War & Contemporary Art Day Sale",Bought In,"250,000 - 350,000 USD ?"
Richard Prince,Untitled (cartoon),"inkjet, acrylic and silkscreen on canvas",2014,Height 29 in.; Width 29 in. / Height 73.7 cm.; Width 73.7 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00218]
Post-War & Contemporary Art Day Sale",Bought In,"100,000 - 150,000 USD ?"
Eric Fischl,Surrounded by Dogs,oil on canvas,2017,Height 50 in.; Width 65 in. / Height 127 cm.; Width 165.1 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00219]
Post-War & Contemporary Art Day Sale","150,000 USD Premium","100,000 - 150,000 USD ?"
Marilyn Minter,White Out (Kiki),enamel on metal,2015,Height 72 in.; Width 86.5 in. / Height 182.9 cm.; Width 219.7 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00233]
Post-War & Contemporary Art Day Sale","75,000 USD Premium","70,000 - 100,000 USD ?"
Thomas Demand,Collection,chromogenic print face-mounted and flush-mounted on Diasec,2001,Height 59.1 in.; Width 78.7 in. / Height 150 cm.; Width 200 cm.,Signed,"30,000 - 50,000 USD",
Louise Lawler,Something about Time and Space But I'm Not Sure What It Is (More) [Six Works],"Cibachrome print flush-mounted on aluminum museum box, in six parts",1998,Height 18.7 in.; Width 23.5 in. / Height 47.6 cm.; Width 59.7 cm.,Signed,"50,000 - 70,000 USD",
Andy Warhol,Album of a Mat Queen,silkscreen ink on canvas,1962,Height 20.7 in.; Width 16.1 in. / Height 52.7 cm.; Width 41 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00247]
Post-War & Contemporary Art Day Sale","100,000 USD Premium","100,000 - 150,000 USD ?"
Yoshitomo Nara,Lonesome Tannenbaum,acrylic and ink on canvas,1999,Height 10.6 in.; Width 8.3 in. / Height 27 cm.; Width 21 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00248]
Post-War & Contemporary Art Day Sale",Bought In,"40,000 - 60,000 USD ?"
Vik Muniz,Bette Davis from Pictures of Diamonds,"Cibachrome print flush-mounted on aluminum, in artist's frame",2004,Height 48 in.; Width 59.9 in. / Height 121.9 cm.; Width 152.1 cm.,"Signed, Inscribed","40,000 - 60,000 USD",
Wayne Thiebaud,Valley Studio Palo Alto,pastel and graphite on board,1966,Height 9.8 in.; Width 14.1 in. / Height 24.8 cm.; Width 35.9 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00118]
Post-War & Contemporary Art Day Sale","275,000 USD Premium","250,000 - 350,000 USD ?"
Philip Guston,Raoul's Tools,oil on board,1973,Height 45 in.; Width 48 in. / Height 114.3 cm.; Width 121.9 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00122]
Post-War & Contemporary Art Day Sale","1,815,000 USD Premium","1,500,000 - 2,000,000 USD ?"
Donald Baechler,Black Flowers,acrylic and fabric collage on canvas,2018,Height 60 in.; Width 60 in. / Height 152.4 cm.; Width 152.4 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00138]
Post-War & Contemporary Art Day Sale","50,000 USD Premium","20,000 - 30,000 USD ?"
George Condo,The Chef,oil on canvas,2019,Height 38 in.; Width 40 in. / Height 96.5 cm.; Width 101.6 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00151]
Post-War & Contemporary Art Day Sale","1,119,000 USD Premium","700,000 - 900,000 USD ?"
Vivian Springford,Untitled,acrylic on canvas,1971,Height 50.2 in.; Width 49.3 in. / Height 127.6 cm.; Width 125.1 cm.,"40,000 - 60,000 USD ?",,"93,750 USD Premium ?"
Andreas Gursky,"PCF, Paris","chromogenic print, in artist's frame",2003,Height 116 in.; Width 81.5 in. / Height 294.6 cm.; Width 207 cm.,Signed,"300,000 - 500,000 USD",
Rashid Johnson,Death in Outer Space,spray enamel on canvas,2012,Height 50 in.; Width 42 in. / Height 127 cm.; Width 106.7 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00185]
Post-War & Contemporary Art Day Sale","30,000 USD Premium","35,000 - 45,000 USD ?"
Jack Whitten,Loop #41 (Spiral),acrylic on masonite,2012,Height 8 in.; Width 8 in. / Height 20.3 cm.; Width 20.3 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00187]
Post-War & Contemporary Art Day Sale",Bought In,"40,000 - 60,000 USD ?"
Neo Rauch,Born,oil on canvas,2011,Height 11.9 in.; Width 15.7 in. / Height 30.2 cm.; Width 40 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00210]
Post-War & Contemporary Art Day Sale","37,500 USD Premium","50,000 - 70,000 USD ?"
Andreas Gursky,Antarctic,"chromogenic print, in artist's frame",2010,Height 98 in.; Width 137 in. / Height 248.9 cm.; Width 348 cm.,Signed,"400,000 - 600,000 USD",
Kenny Scharf,Anti-Gravity Land,oil and spray paint on canvas,1984,Height 84 in.; Width 60.2 in. / Height 213.3 cm.; Width 152.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00221]
Post-War & Contemporary Art Day Sale","137,500 USD Premium","70,000 - 100,000 USD ?"
Carroll Dunham,"Garbage, Ratio (Shoulder)","oil, graphite and cardboard, plastic and clay collage on canvas, in two parts",Circa 2006,Height 72 in.; Width 40 in. / Height 182.8 cm.; Width 101.5 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00223]
Post-War & Contemporary Art Day Sale","56,250 USD Premium","60,000 - 80,000 USD ?"
Richard Estes,J & H Grocery,oil on board,1992,Height 10.5 in.; Width 13.7 in. / Height 26.7 cm.; Width 34.9 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00232]
Post-War & Contemporary Art Day Sale","81,250 USD Premium","60,000 - 80,000 USD ?"
Christopher Williams,"Grand Dixence, Val de Dix, Switzerland, August 2, 1993 (Nr. 1-7)",gelatin silver print,1993,Height 9 in.; Width 12.2 in. / Height 22.8 cm.; Width 31.1 cm.,Signed,"25,000 - 35,000 USD",
Andy Warhol,Richard Weisman,acrylic and silkscreen ink on canvas,1985,Height 40 in.; Width 40 in. / Height 101.6 cm.; Width 101.6 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00245]
Post-War & Contemporary Art Day Sale","711,000 USD Premium","80,000 - 120,000 USD ?"
Yayoi Kusama,Stars in the Night,acrylic on canvas,2014,Height 51.2 in.; Width 63.8 in. / Height 130 cm.; Width 162 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00114]
Post-War & Contemporary Art Day Sale","399,000 USD Premium","350,000 - 550,000 USD ?"
Rashid Johnson,Untitled Anxious Red Drawing,oil on cotton rag,2020,Height 19.8 in.; Width 15 in. / Height 50.2 cm.; Width 38.1 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00127]
Post-War & Contemporary Art Day Sale","50,000 USD Premium","20,000 - 30,000 USD ?"
Kenny Scharf,Skribskrabz,"oil and spray paint on linen, in artist's frame",2020,Height 90 in.; Width 70 in. / Height 228.6 cm.; Width 177.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00135]
Post-War & Contemporary Art Day Sale","100,000 USD Premium","80,000 - 120,000 USD ?"
Keith Haring,Untitled,gold ink on black vinyl,1981,Height 14 in.; Width 19 in. / Height 35.6 cm.; Width 48.3 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00150]
Post-War & Contemporary Art Day Sale","212,500 USD Premium","150,000 - 200,000 USD ?"
Doris Salcedo,Atrabiliarios,"wall construction—wood, found shoes, animal fiber and surgical thread",1992,Height 10 in.; Width 6.4 in.; Depth 4.5 in. / Height 25.4 cm.; Width 16.2 cm.; Depth 11.4 cm.,"60,000 - 80,000 USD ?",,"56,250 USD Premium ?"
Richard Prince,Untitled (Oh),inkjet on canvas,2010,Height 66.5 in.; Width 50.2 in. / Height 168.9 cm.; Width 127.6 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00213]
Post-War & Contemporary Art Day Sale","312,500 USD Premium","200,000 - 300,000 USD ?"
David Salle,Pointing,"oil, acrylic and silkscreen ink on three joined canvases",1996,Height 84 in.; Width 120 in. / Height 213.4 cm.; Width 304.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00220]
Post-War & Contemporary Art Day Sale","150,000 USD Premium","150,000 - 200,000 USD ?"
Katherine Bernhardt,"Sneakers, Computers, Capri Sun",acrylic and spray paint on canvas,2014,Height 96 in.; Width 120 in. / Height 243.8 cm.; Width 304.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00229]
Post-War & Contemporary Art Day Sale",Bought In,"40,000 - 60,000 USD ?"
Ed Ruscha,"Gasoline Stations, 1962",gelatin silver print,1962,Later Imp 1989,18/25,,
Ed Ruscha,"Parking Lots, 1967",gelatin silver print,1967,Later Imp 1999,1/35,,
Wolfgang Tillmans,Paper Drop (Krishnamurti),chromogenic print,2006,Height 15.7 in.; Width 23.6 in. / Height 40 cm.; Width 60 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00239]
Post-War & Contemporary Art Day Sale","32,500 USD Premium","20,000 - 30,000 USD ?"
Damien Hirst,Beautiful Shattering Shuddering Can You Feel the Earth Move? Painting,household gloss on canvas,2008,Height 60 in.; Width 60 in. / Height 152.4 cm.; Width 152.4 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00242]
Post-War & Contemporary Art Day Sale","225,000 USD Premium","180,000 - 250,000 USD ?"
Andy Warhol,Robin and Abby Weisman,acrylic and silkscreen ink on canvas,1977,Height 40 in.; Width 40 in. / Height 101.6 cm.; Width 101.6 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00246]
Post-War & Contemporary Art Day Sale","325,000 USD Premium","100,000 - 150,000 USD ?"
Pablo Picasso,Les femmes d'Alger (version 'F'),oil on canvas,1955,Height 21.3 in.; Width 25.6 in. / Height 54.2 cm.; Width 65 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00052]
ONE: A Global Sale of the 20th Century","29,217,500 USD Premium",No Estimate Received
Lucio Fontana,"Concetto Spaziale, Attesa",waterpaint on canvas,1966,Height 63.2 in.; Width 51.5 in. / Height 160.6 cm.; Width 130.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00053]
ONE: A Global Sale of the 20th Century","8,787,500 USD Premium","7,500,000 - 10,500,000 USD ?"
Ellsworth Kelly,Yellow Panel,oil on canvas,1987,Height 80.7 in.; Width 77.5 in. / Height 205.1 cm.; Width 196.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00057]
ONE: A Global Sale of the 20th Century","4,815,000 USD Premium","3,500,000 - 5,500,000 USD ?"
Pablo Picasso,"Baigneuses, sirènes, femme nue et minotaure","Ripolin, gouache and pen and India ink on board",1937,Height 8.9 in.; Width 10.6 in. / Height 22.5 cm.; Width 26.8 cm.,"6,000,000 - 9,000,000 USD ?",,"8,106,500 USD Premium ?"
Richard Avedon,"Dovima with Elephants, Evening Dress by Dior, Cirque d'Hiver, Paris, 1955","gelatin silver print, flush-mounted on linen, mounted on aluminum",1979,Height 80 in.; Width 63.5 in. / Height 203.2 cm.; Width 161.2 cm.,"Signed, Stamped","800,000 - 1,200,000 USD",
Pablo Picasso,Baigneuses au ballon,oil on canvas,1928,Height 8.6 in.; Width 13.8 in. / Height 21.9 cm.; Width 35.1 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00049]
ONE: A Global Sale of the 20th Century","4,575,000 USD Premium","1,200,000 - 1,800,000 USD ?"
Frank Stella,Sharpeville,alkyd on canvas,1962,Height 85.4 in.; Width 85.4 in. / Height 216.8 cm.; Width 216.8 cm.,"7,000,000 - 9,000,000 USD ?",,"11,625,000 USD Premium ?"
Brice Marden,Complements,oil on canvas,2004-2007,Height 72 in.; Width 96 in. / Height 182.9 cm.; Width 243.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00055]
ONE: A Global Sale of the 20th Century","30,920,000 USD Premium","28,000,000 - 35,000,000 USD ?"
Roy Lichtenstein,Nude with Joyous Painting,oil and Magna on canvas,1994,Height 70 in.; Width 53 in. / Height 177.8 cm.; Width 134.6 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00058]
ONE: A Global Sale of the 20th Century","46,242,500 USD Premium",No Estimate Received
Georgia O'Keeffe,From Pink Shell,oil on canvas,1931,Height 20 in.; Width 17 in. / Height 50.8 cm.; Width 43.2 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00060]
ONE: A Global Sale of the 20th Century","5,098,750 USD Premium","2,000,000 - 3,000,000 USD ?"
Wayne Thiebaud,Four Pinball Machines,oil on canvas,1962,Height 68 in.; Width 72 in. / Height 172.7 cm.; Width 182.8 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00063]
ONE: A Global Sale of the 20th Century","19,135,000 USD Premium","18,000,000 - 25,000,000 USD ?"
Jasper Johns,Untitled (Gray Painting with Spoon),encaustic on canvas with objects,1962,Height 26 in.; Width 20.1 in. / Height 66 cm.; Width 51.1 cm.,"Christie's New York: Friday, July 10, 2020 [Lot 00064]
ONE: A Global Sale of the 20th Century",Bought In,"4,500,000 - 5,500,000 USD ?"
